,X,ID,term,source,source_type,retrieval_date,hyperlink,definition,def_clean,def_ID
1,0,forrt_001,Abstract Bias,forrt,online_glossary,9/3/2022,https://forrt.org/glossary/abstract-bias/,"The tendency to report only significant results in the abstract, while reporting non-significant results within the main body of the manuscript (not reporting non-significant results altogether would constitute selective reporting). The consequence of abstract bias is that studies reporting non-significant results may not be captured with standard meta-analytic search procedures (which rely on information in the title, abstract and keywords) and thus biasing the results of meta-analyses.",tendency report significant results abstract reporting non significant results within main body manuscript reporting non significant results altogether constitute selective reporting consequence abstract bias studies reporting non significant results may captured standard meta analytic search procedures rely information title abstract keywords thus biasing results meta analyses,Abstract Bias_1
2,3,forrt_002,Academic Impact,forrt,online_glossary,9/3/2022,https://forrt.org/glossary/academic-impact/,"The contribution that a research output (e.g., published manuscript) makes in shifting understanding and advancing scientific theory, method, and application, across and within disciplines. Impact can also refer to the degree to which an output or research programme influences change outside of academia, e.g. societal and economic impact (cf. ESRC: ",contribution research output published manuscript makes shifting understanding advancing scientific theory method application across within disciplines impact can also refer degree output research programme influences change outside academia societal economic impact cf esrc esrc ukri org research impact toolkit impact,Academic Impact_1
3,4,forrt_002,Academic Impact,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/academic-impact/106389,"Which is the demonstrable contribution that excellent social and economic research makes in shifting understanding and advancing scientific method, theory and application across and within disciplines.Learn more in: Academic Migration From Scientist Networks in the Global Environment: A Case Study",demonstrable contribution excellent social economic research makes shifting understanding advancing scientific method theory application across within disciplines,Academic Impact_2
4,6,forrt_003,Accessibility,forrt,online_glossary,9/3/2022,https://forrt.org/glossary/accessibility/,"Accessibility refers to the ease of access and re-use of materials (e.g., data, code, outputs, publications) for academic purposes, particularly the ease of access is afforded to people with a chronic illness, disability and/or neurodivergence. These groups face numerous financial, legal and/or technical barriers within research, including (but not limited to) the acquisition of appropriately formatted materials and physical access to spaces. Accessibility also encompasses structural concerns about diversity, equity, inclusion, and representation (Pownall et al., 2021). Interfaces, events and spaces should be designed with accessibility in mind to ensure full participation, such as by ensuring that web-based images are colorblind friendly and have alternative text, or by using live captions at events (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021).",accessibility refers ease access re use materials data code outputs publications academic purposes particularly ease access afforded people chronic illness disability neurodivnce thesoups face numerous financial legal technical barriers within research including limited acquisition appropriately formatted materials physical access spaces accessibility also encompasses structural concerns diversity equity inclusion representation pownall interfaces events spaces designed accessibility mind ensure full participation ensuring web based images colorblind friendly alternative text using live captions events brown pollet bond world wide web consortium,Accessibility_1
5,7,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"A term interchangeably used with a??usabilitya?? or even a??availabilitya??, but its core meaning is the extent to which a system can be used successfully and comfortably by users with disabilities or special needs.Learn more in: Human Factors and Innovation with Mobile Devices",term interchangeably used usability even availability core meaning extent system can used successfully comfortably users disabilities special needs,Accessibility_2
6,8,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The ability to easily navigate and move about in the environment. Usually thought of in terms of the architecture of buildings, but since the recent advent of the Web Accessibility Initiative (WAI), has been expanded to include the architecture of the World Wide Web and, per Section 508 (NCD, 2001), all electronic and information technology.Learn more in: Accessibility of Technology in Higher Education",ability easily navigate move environment usually thought terms architecture buildings since recent advent web accessibility initiative wai expanded include architecture world wide web per section electronic information technology,Accessibility_3
7,9,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"As used here, includes: usability and possibility of independent physical access and movement; and perceptibility, referring to the way one perceives, understands the environment.Learn more in: Accessibility Improvement Interventions at Byzantine Monuments: Use of Technology for Facilitating Accessibility of Visitors With Sensory Disabilities",used includes usability possibility independent physical access movement perceptibility referring way one perceives understands environment,Accessibility_4
8,10,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The availability of good health services within reasonable reach of those who need them and of opening hours, appointment systems and other aspects of service organization and delivery that allow people to obtain the services when they need them.Learn more in: Improving Patient Care With Telemedicine Technology",availability good health services within reasonable reach need opening hours appointment systems aspects service organization delivery allow people obtain services need,Accessibility_5
9,11,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Ability to allow individuals with different capabilities and limitations to gain comparable access and use of information or resources.Learn more in: Visual Disabilities, Information Technology, and the Learning of Mathematics",ability allow individuals different capabilities limitations gain comparable access use information resources,Accessibility_6
10,12,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The possibility given by television to guarantee informative content, interaction ways, and navigation processes adequate to any user, no matter his or her capabilities and skills, hardware, and software configuration. In particular, accessibility addresses to people with disabilities (physical and intellectual), who are traditionally excluded by the Information Society.Learn more in: Accessibility, Usability, and Functionality in T-Government Services",possibility given television guarantee informative content interaction ways navigation processes adequate user matter capabilities skills hardware software configuration particular accessibility addresses people disabilities physical intellectual traditionally excluded information society,Accessibility_7
11,13,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"a??The usability of a product, service, environment or facility by people with the widest range of capabilitiesa?? (ISO TS 16071).Learn more in: A Standard-Based Framework to Support Personalisation, Adaptation, and Interoperability in Inclusive Learning Scenarios",usability product service environment facility people widest range capabilities iso ts,Accessibility_8
12,14,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Accessibility is the provision of a website to the greatest number of consumers.Learn more in: Quality and Online Banking Case Study: a??We Banka?? Attijari Bank in Tunisia,accessibility provision website theatest number consumers,Accessibility_9
13,15,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The ease of attaining information and services offered through an e-government channel.Learn more in: Exploring Critical Success Factors Towards Adoption of M-Government Services in Tanzania: A Web Analytics Study,ease attaining information services offered vernment channel,Accessibility_10
14,16,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The practice of making products and services, spaces, information, and processes usable by as many people as possible.Learn more in: Accessibility to Spa Experiences",practice making products services spaces information processes usable many people possible,Accessibility_11
15,17,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Refers to a consumera??s entrance point into the luxury product category, introducing four levels a?? inaccessible, intermediate, accessible, and mass accessible. Accessibility to luxury goods can vary based on the consumera??s points of reference.Learn more in: Understanding the Luxury Brand Consumer: A Proposed Conceptual Framework",refers consumer s entrance point luxury product category introducing four levels inaccessible intermediate accessible mass accessible accessibility luxury goods can vary based consumer s points reference,Accessibility_12
16,18,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"the property of a designed artifact to be usable, manipulable and undestandable by all people regardless temporal or permanent injuries or disabilities.Learn more in: E-Business and Web Accessibility",property designed artifact usable manipulable undestandable people regardless temporal permanent injuries disabilities,Accessibility_13
17,19,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Health facilities, goods, and services accessible to everyone, within the jurisdiction of the state party.Learn more in: The Importance of Information and Communication Technologies in Establishing Healthcare Services with a Universal Coverage",health facilities goods services accessible everyone within jurisdiction state party,Accessibility_14
