,term,avg_similarity,total_definitions,cluster,cluster_name,tokens,types,type_to_token_ratio,cluster_name_wrapped
1,AMNESIA,NA,1,6,"Data sharing, reproducibility, and computational tools",24,18,0.75,"Data sharing,
reproducibility, and
computational tools"
2,ARRIVE Guidelines,NA,1,2,Replication and research challenges,52,40,0.769230769,"Replication and
research challenges"
3,Abstract Bias,NA,1,2,Replication and research challenges,46,31,0.673913043,"Replication and
research challenges"
4,Academic Impact,0.604190309,2,2,Replication and research challenges,57,36,0.631578947,"Replication and
research challenges"
5,Accessibility,0.325506089,122,4,"Research design, validity, and theoretical frameworks",1849,724,0.391563007,"Research design,
validity, and
theoretical
frameworks"
6,Ad hominem bias,0.327578093,3,4,"Research design, validity, and theoretical frameworks",64,50,0.78125,"Research design,
validity, and
theoretical
frameworks"
7,Adversarial (collaborative) commentary,NA,1,1,Research credit,42,39,0.928571429,Research credit
8,Adversarial collaboration,NA,1,2,Replication and research challenges,30,30,1,"Replication and
research challenges"
9,Affiliation bias,NA,1,1,Research credit,25,22,0.88,Research credit
10,Aleatoric uncertainty,NA,1,3,Statistical analysis and hypothesis testing,24,23,0.958333333,"Statistical analysis
and hypothesis
testing"
11,Altmetrics,0.544245318,6,1,Research credit,101,62,0.613861386,Research credit
12,Analytic Flexibility,NA,1,3,Statistical analysis and hypothesis testing,47,38,0.808510638,"Statistical analysis
and hypothesis
testing"
13,Anonymity,0.333268726,41,4,"Research design, validity, and theoretical frameworks",482,218,0.452282158,"Research design,
validity, and
theoretical
frameworks"
14,Article Processing Charge (APC),NA,1,5,Open science and collaborative practices,83,73,0.879518072,"Open science and
collaborative
practices"
15,Authorship,0.375025785,6,1,Research credit,126,92,0.73015873,Research credit
16,Auxiliary Hypothesis,NA,1,3,Statistical analysis and hypothesis testing,34,29,0.852941176,"Statistical analysis
and hypothesis
testing"
17,BIDS data structure,NA,1,6,"Data sharing, reproducibility, and computational tools",46,37,0.804347826,"Data sharing,
reproducibility, and
computational tools"
18,BIZARRE,NA,1,2,Replication and research challenges,35,29,0.828571429,"Replication and
research challenges"
19,Badges (Open Science),NA,1,5,Open science and collaborative practices,58,43,0.74137931,"Open science and
collaborative
practices"
20,Bayes Factor,NA,1,3,Statistical analysis and hypothesis testing,67,44,0.656716418,"Statistical analysis
and hypothesis
testing"
21,Bayesian Inference,0.544585726,8,3,Statistical analysis and hypothesis testing,151,91,0.602649007,"Statistical analysis
and hypothesis
testing"
22,Bayesian Parameter Estimation,NA,1,3,Statistical analysis and hypothesis testing,77,59,0.766233766,"Statistical analysis
and hypothesis
testing"
23,Bottom-up approach (to Open Scholarship),NA,1,2,Replication and research challenges,62,57,0.919354839,"Replication and
research challenges"
24,Bracketing Interviews,NA,1,2,Replication and research challenges,38,31,0.815789474,"Replication and
research challenges"
25,Bropenscience,NA,1,2,Replication and research challenges,60,56,0.933333333,"Replication and
research challenges"
26,CARKing,NA,1,2,Replication and research challenges,25,20,0.8,"Replication and
research challenges"
27,CKAN,NA,1,5,Open science and collaborative practices,29,25,0.862068966,"Open science and
collaborative
practices"
28,COAR Community Framework for Good Practices in Repositories,NA,1,2,Replication and research challenges,26,24,0.923076923,"Replication and
research challenges"
29,CRediT,NA,1,1,Research credit,74,57,0.77027027,Research credit
30,Center for Open Science (COS),NA,1,5,Open science and collaborative practices,25,24,0.96,"Open science and
collaborative
practices"
31,Citation Diversity Statement,NA,1,1,Research credit,47,42,0.893617021,Research credit
32,Citation bias,NA,1,1,Research credit,43,38,0.88372093,Research credit
33,Citizen Science,0.57378017,9,5,Open science and collaborative practices,202,119,0.589108911,"Open science and
collaborative
practices"
34,Co-production,0.365477226,15,4,"Research design, validity, and theoretical frameworks",224,145,0.647321429,"Research design,
validity, and
theoretical
frameworks"
35,Code review,0.590726418,3,6,"Data sharing, reproducibility, and computational tools",72,61,0.847222222,"Data sharing,
reproducibility, and
computational tools"
36,Codebook,0.356190269,4,6,"Data sharing, reproducibility, and computational tools",74,65,0.878378378,"Data sharing,
reproducibility, and
computational tools"
37,Collaborative Replication and Education Project (CREP),NA,1,2,Replication and research challenges,47,37,0.787234043,"Replication and
research challenges"
