,UMAP1,UMAP2,cluster,term,cluster_name
1,-1.322894142,1.546119793,6,AMNESIA,"Data sharing, reproducibility, and computational tools"
2,1.491410177,-0.702091107,2,ARRIVE Guidelines,Replication and research challenges
3,0.149708856,-1.667270955,2,Abstract Bias,Replication and research challenges
4,1.244673814,-0.279889512,2,Academic Impact,Replication and research challenges
5,-0.464642175,1.077148052,4,Accessibility,"Research design, validity, and theoretical frameworks"
6,-0.348261278,0.037377193,4,Ad hominem bias,"Research design, validity, and theoretical frameworks"
7,-0.343039168,0.191684666,1,Adversarial (collaborative) commentary,Research credit
8,0.573725529,-1.280328952,2,Adversarial collaboration,Replication and research challenges
9,0.095183062,-0.405178563,1,Affiliation bias,Research credit
10,-1.137646545,-1.876842622,3,Aleatoric uncertainty,Statistical analysis and hypothesis testing
11,1.04099866,-2.452344849,1,Altmetrics,Research credit
12,0.650885051,-1.729996604,3,Analytic Flexibility,Statistical analysis and hypothesis testing
13,-1.31718241,1.278794814,4,Anonymity,"Research design, validity, and theoretical frameworks"
14,0.127920537,1.167684182,5,Article Processing Charge (APC),Open science and collaborative practices
15,-0.769304189,1.086577768,1,Authorship,Research credit
16,-0.48094716,-1.188745806,3,Auxiliary Hypothesis,Statistical analysis and hypothesis testing
17,-0.539633954,2.744839016,6,BIDS data structure,"Data sharing, reproducibility, and computational tools"
18,-0.911220149,-0.075013958,2,BIZARRE,Replication and research challenges
19,0.808222826,1.349155957,5,Badges (Open Science),Open science and collaborative practices
20,-1.549095553,-2.052019282,3,Bayes Factor,Statistical analysis and hypothesis testing
21,-1.772425237,-1.991899141,3,Bayesian Inference,Statistical analysis and hypothesis testing
22,-1.82690871,-1.93939501,3,Bayesian Parameter Estimation,Statistical analysis and hypothesis testing
23,0.761062489,-0.238633414,2,Bottom-up approach (to Open Scholarship),Replication and research challenges
24,0.725733008,-0.323813383,2,Bracketing Interviews,Replication and research challenges
25,-0.656094588,0.007008747,2,Bropenscience,Replication and research challenges
26,0.042676231,-0.335102898,2,CARKing,Replication and research challenges
27,0.037690361,2.432780408,5,CKAN,Open science and collaborative practices
28,1.446184388,0.892206522,2,COAR Community Framework for Good Practices in Repositories,Replication and research challenges
29,-0.744420343,1.296766681,1,CRediT,Research credit
30,0.923185123,1.531707085,5,Center for Open Science (COS),Open science and collaborative practices
31,1.194745517,-2.22184885,1,Citation Diversity Statement,Research credit
